,Followers,Handle,Influencer-Score,Latitude,Longitude,Total Tweets by user,Tweet,User,User location,Tier
21,222575,BuckSexton,108.19754651150129,38.890370000000075,-77.03195999999997,29673,"Other things that definitely “played a role”

- weather patterns
- ocean currents 
- species migration 
- the passage of time 
- random chance https://t.co/dieOLOb1X0",Buck Sexton,"Washington, DC",Mid
22,1273459,CARE,3.5110183358712557,-84.39110999999997,33.74831000000006,31285,"There are 68.5 million refugees in the world today. Women fleeing emergencies risk rape, violence and exploitation on the road to safety. Sign the pledge to make them Safe From the Start. https://t.co/JNoGna2OYq #FightForRefugees #WorldRefugeeDay #WithRefugees https://t.co/c03CQ9qSDd",CARE (care.org),Atlanta,Macro
23,2713269,CBCNews,10.854717452710418,60.108670000000075,-113.64257999999995,217223,Conservative Leader Andrew Scheer's immigration policy speech was most interesting for what he did not mention: the UN's global compact on migration he condemned as recently as December. https://t.co/30a7JrTQo0 @AaronWherry,CBC News,Canada,Star
24,233333,CBP,68.00704675307719,38.890370000000075,-77.03195999999997,8567,"An #AMO DHC-8 crew conducting surveillance detected a vessel with multiple people onboard in the vicinity of Key West, FL. AMO Agents coordinated an intercept by a partner agency resulting in the arrest of 2 people, repatriation of 10 Cuban nationals, and seizure of the vessel. https://t.co/RsonVPRYyS",CBP,"Washington, D.C.",Mid
25,6743057,CBSNews,162.93684482186725,40.71455000000003,-74.00713999999994,214827,Commentary: The Great American Brain Drain is coming https://t.co/xph5u4Gj2s https://t.co/kTnshqkeLW,CBS News,"New York, NY",Star
26,220137,CBSSunday,3.662029628669344,40.714500000000044,-74.00600999999995,17595,"For all the obvious reasons, people who come to Italy often find it a difficult place to leave. Now, some are finding they don't have to go home – they already are home https://t.co/QeRySqvYVm https://t.co/4kOHcKOIRV",CBS Sunday Morning 🌞,"Manhattan, NY",Mid
27,3170563,CNBC,26.697252674888798,40.87924000000004,-73.95077999999995,282675,Over one billion people worldwide don't have any form of identification. This UN organization wants to change that using blockchain.  https://t.co/ser1OEh2B4 https://t.co/RGHKzJqi28,CNBC,"Englewood Cliffs, NJ",Star
28,2809848,CNNPolitics,387.2935505263394,38.890370000000075,-77.03195999999997,149673,"A company Trump has touted to build part of his border wall has a troubled history, including more than $1 million in fines for environmental and tax violations and admitting to defrauding the federal government https://t.co/0d8F57LrmD https://t.co/5HfvjGrEBq",CNN Politics,"Washington, D.C.",Star
29,1818287,CP24,21.45362018940564,43.648690000000045,-79.38543999999996,176455,"Ottawa expands program to support privately sponsored LGBTQ refugees
https://t.co/bW8hhvONLX https://t.co/BTbgKqyf7z",CP24,Toronto,Macro
30,58591,CanadaDev,1.6045798790837018,60.108670000000075,-113.64257999999995,20581,"Canada announces new initiatives to provide lifesaving, gender-responsive humanitarian assistance to support #Rohingya refugees and development for host communities in #Bangladesh. 

➡️ https://t.co/g3Ul4LiobY https://t.co/tp7WMNehQY",Development Canada,Canada,Micro
31,48630,Carolyn_Bennett,4.551301568795008,43.648690000000045,-79.38543999999996,65894,"For too long the women’s movement in Canada has been underfunded, underestimated and undermined. Today, our gov’t has announced investments for 18 organizations committed to capacity-building and preventing gender-based violence in Toronto.
https://t.co/ZQGssnbGhn https://t.co/uORCgZuJHE",Carolyn Bennett,"Toronto, Canada",Micro
32,172210,CassandraRules,2.2452290869845726,38.890370000000075,-77.03195999999997,133237,"Assange a victim of torture and Australia shares blame, says UN expert https://t.co/skZNsXM56J",Cassandra Fairbanks,"Washington, DC",Mid
33,174853,CatholicNewsSvc,1.6870930765101866,38.890370000000075,-77.03195999999997,92887,".@CardinalChito points to a photo of his maternal grandfather, who emigrated from China to the Philippines, on a mosaic of faces of #migrants, world leaders &amp; @iamcaritas staff. Caritas Internationalis is meeting at the Vatican for its general assembly. (CNS photo/Robert Duncan) https://t.co/HCwDLpHcvu",Catholic News Service,"Washington, DC",Mid
34,357896,CatoInstitute,16.52399311909974,38.890370000000075,-77.03195999999997,69079,Cannabis is no longer flowing across the border at the rate it once was. This decline has virtually nothing to do with expensive security innovations at the border and everything to do with legalization in the United States. https://t.co/BVUgD0j4Gh #CatoDrugWar #CatoImmigration https://t.co/efZNsmZeZh,Cato Institute,"Washington, DC",Mid
35,192132,CecileRichards,1.456605969925705,40.71455000000003,-74.00713999999994,11752,"Imagine a government that cares about families and recognizes that when immigrant children are dying at the border, that is a national emergency.",Cecile Richards,"New York, NY",Mid
36,164758,CharlesPPierce,10.926326933306756,34.23294000000004,-102.41019999999997,70735,The effects of climate change are killing people in Alaska: https://t.co/afKCNwVfkI,Charles P. Pierce,Earth,Mid
37,85186,Charles_Lister,5.170882065047318,38.890370000000075,-77.03195999999997,26337,"""The only terrorist is Bashar al-#Assad. Many God punish him, for he has ripped out my heart.""

This is Fadl Fahim, whose mother &amp; all 3 of his children were killed in an airstrike in #Ariha on May 27. Unimaginable.

#Syria https://t.co/WvxBiSUEes",Charles Lister,"Washington, DC",Micro
38,946129,CharlieDaniels,27231.011673814675,36.200060000000065,-86.51860999999997,67152,"With all due respect Pope Francis, if president Trump is wrong to build a wall to protect our Southern border, what is the purpose of the wall around Vatican City?",Charlie Daniels,"Mt. Juliet, TN",Macro
39,190363,CitImmCanada,1.5142716719525657,60.108670000000075,-113.64257999999995,35308,"Spouses/partners who are experiencing family violence but are afraid to leave an abusive situation for fear of losing their immigration status will be able to apply for a Temporary Resident Permit, starting July 26. Learn more: https://t.co/HWPt5LFLFM https://t.co/urG2V5dGJ4",IRCC,Canada,Mid
40,14394,CrisAlexJimenez,26.332067194844694,40.71455000000003,-74.00713999999994,4680,"UP NEXT: @BetoORourke 

What’s his big idea? 

Treating immigrants &amp; refugees humanely, cancel Trump’s immigration polices, no fees for citizenship applications &amp; a pathway to citizenship for the undocumented. 

He also said it in Spanish! 

#BigIdeas @MoveOn https://t.co/0xgvmVYpAo",Cristina Jiménez,"New York, NY",Micro
41,289234,Criterion,25.895210941966447,40.71455000000003,-74.00713999999994,17030,"""Not only did Varda make her subject the most crucial and vexed issue of the feminist movement, at that time as it is today...she also fashioned a narrative that is as rife with contradictions and reversals as freedom struggles always are."" https://t.co/zPUZsIvgBe",Criterion Collection,New York,Mid
42,1750043,DHSgov,1990.7382923377502,38.890370000000075,-77.03195999999997,14330,"#ICYMI @DHSMcAleenan lays out the push-pull factors that are drawing such large numbers of migrants to our country illegally. There’s a strategy to solve the crisis, but more resources and authorities are needed from Congress to help achieve our mission. https://t.co/3lqyi2KBJY",Homeland Security,"Washington, D.C.",Macro
43,61896,DLind,1.891326906030207,38.890370000000075,-77.03195999999997,55580,"The same thing is true of immigration. Images — specifically moving images, and often (as with the 2014 child migrant crisis/2017 travel-ban protests/2018 caravan) images of massed people — are what determines whether a story breaks through. https://t.co/ekttjpkfsF",Dara Lind,"Washington, DC",Micro
44,503612,DailyCaller,4.481302511503015,38.890370000000075,-77.03195999999997,275857,Report: Trump Administration Allowing Tourist Visas For Elderly Mexicans To Visit Undocumented Family In US https://t.co/VSR4j9AVwb,The Daily Caller,"Washington, DC",Macro
45,36889,Dangchick1,1.8163024533664796,33.74831000000006,-84.39110999999997,66395,"GOP candidate who drove 'deportation bus' Michael Williams (R-GA) sentenced for fraud charges. The former state senator has been ordered to serve 4 yrs of probation, over 100 hours of community service &amp; pay a $5K fine after he pleaded guilty to making a false report of ins fraud https://t.co/bIajYdpT7g",Debbie,"Atlanta, Ga",Micro
46,97800,DavidJohnson31,94.17634592664014,34.29301645100003,-111.66475398799997,5536,"I’m only getting started, feel this analog🎮.........I ain’t lookin for the fame turn the cameras off! #Year✋🏾 #DarkHorse https://t.co/CqpYnw9aMk",David Johnson,"Arizona, USA",Micro
47,159412,DrDenaGrayson,38.95069328977858,28.56604489500006,-81.68864878999995,57481,"🔥WHOA🔥

@realDonaldTrump’s pal—#NorthKorea dictator Kim Jong Un—ordered *EXECUTION by firing squad* of NK’s top nuclear envoy to the US (Kim Hyok Chol) after a “failed” summit with Trump in Vietnam.

Meanwhile, Trump and Kim exchange “love letters.”🤬

https://t.co/va0Z6j9JIG https://t.co/cK3IFFE0Rj",Dr. Dena Grayson,Florida,Mid
48,42081,ElizLanders,28.25279033754034,38.890370000000075,-77.03195999999997,23131,Mick Mulvaney asked about Kim Jong Un reportedly executing his top negotiators - and whether Trump should be negotiating with a brutal dictator: “Having a good working relationship with someone is never a bad thing.”,Elizabeth Landers,"Washington, DC",Micro
49,108810,EnjoyNature,394.37154365832146,40.71455000000003,-74.00713999999994,93132,"Old water mill in the green forest

#nature #travel #photo #woods #mindfulness #country #summer #pictures
mills and rural building https://t.co/B8uvd9lXZZ",Enjoy Nature 🌻+☀️=💛,"New York, NY",Mid
50,71908,EpochTimes,8.260247186224502,40.71455000000003,-74.00713999999994,126371,"Among the stranger exchanges of #GeorgeWashington was a series of letters on the #Illuminati of #Bavaria, its attempts to overthrow religion and government in #Europe, and its manifestations in the US under the “Democratic Societies.” https://t.co/MIA6yUbfwD",The Epoch Times,"New York, USA",Micro
51,287070,FAIRImmigration,675.9614131073068,38.890370000000075,-77.03195999999997,34951,"FAIR STUDY - Foreign-born workers are sending roughly $150 billion each year in remittances to friends, family members, and associates outside the United States. https://t.co/Cl1SfCz9nv",FAIR,"Washington, DC",Mid
